,-no-flag,-adce,-always-inline,-argpromotion,-break-crit-edges,-codegenprepare,-constmerge,-dce,-deadargelim,-dse,-function-attrs,-globaldce,-globalopt,-gvn,-indvars,-inline,-instcombine,-aggressive-instcombine,-ipsccp,-jump-threading,-lcssa,-licm,-loop-deletion,-loop-extract,-loop-extract-single,-loop-reduce,-loop-rotate,-loop-simplify,-loop-unroll,-loop-unroll-and-jam,-loweratomic,-lowerinvoke,-lowerswitch,-mem2reg,-memcpyopt,-mergefunc,-mergereturn,-partial-inliner,-reassociate,-reg2mem,-sroa,-sccp,-simplifycfg,-sink,-strip,-strip-dead-debug-info,-strip-dead-prototypes,-strip-debug-declare,-strip-nondebug,-tailcallelim
csmith_33.bc,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16472,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16512,16520,16512,16512,16512,16520,16512
csmith_34.bc,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,17368,19040,19040,19040,19040,19040,17968,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19040,19448,19040,19040,19040,19448,19040
csmith_35.bc,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73016,73440,73440,73440,73440,73440,73136,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73440,73392,73440,73440,73440,73392,73440
csmith_36.bc,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16472,16496,16472,16472,16472,16496,16472
csmith_37.bc,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,120128,121832,121832,121832,121832,121832,112360,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,121832,122152,121832,121832,121832,122152,121832
csmith_38.bc,98488,98488,98488,98488,98488,98488,98368,98488,98488,98488,98488,98368,101432,98488,98488,98488,98488,98488,98152,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98488,98576,98488,98488,98488,98576,98488
csmith_39.bc,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,22240,23336,23336,23336,23336,23336,22368,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23336,23792,23336,23336,23336,23792,23336
csmith_40.bc,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,17416,18672,18672,18672,18672,18672,17856,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,19024,18672,18672,18672,19024,18672
csmith_41.bc,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88760,88120,88120,88120,88120,88120,87288,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88120,88592,88120,88120,88120,88592,88120
csmith_42.bc,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16632,16616,16632,16632,16632,16616,16632
csmith_43.bc,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,71184,77456,77456,77456,77456,77456,76672,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,77456,78248,77456,77456,77456,78248,77456
csmith_44.bc,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16360,16400,16400,16400,16400,16400,16360,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400
csmith_45.bc,94856,94856,94856,94856,94856,94856,94824,94856,94856,94856,94856,94856,97664,94856,94856,94856,94856,94856,94456,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,94856,95024,94856,94856,94856,95024,94856
csmith_46.bc,74272,74272,74272,74272,74272,74272,74176,74272,74272,74272,74272,74176,72480,74272,74272,74272,74272,74272,73856,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74272,74616,74272,74272,74272,74616,74272
csmith_47.bc,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,33424,35200,35200,35200,35200,35200,34480,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,35200,36000,35200,35200,35200,36000,35200
csmith_48.bc,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36400,36960,36960,36960,36960,36960,36520,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36960,36872,36960,36960,36960,36872,36960
csmith_49.bc,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16360,16400,16400,16400,16400,16400,16360,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400
csmith_50.bc,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16392,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400,16400
csmith_51.bc,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,222240,230304,230304,230304,230304,230304,225832,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230304,230736,230304,230304,230304,230736,230304
csmith_52.bc,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47288,47848,47848,47848,47848,47848,47696,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47848,47448,47848,47848,47848,47448,47848
csmith_53.bc,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,28568,27984,27984,27984,27984,27984,26992,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,27984,28984,27984,27984,27984,28984,27984
csmith_54.bc,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62024,62904,62904,62904,62904,62904,62168,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62904,62736,62904,62904,62904,62736,62904
csmith_55.bc,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360,16360
csmith_56.bc,55640,55640,55640,55640,55640,55640,55328,55640,55640,55640,55640,55328,49488,55640,55640,55640,55640,55640,51088,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55640,55488,55640,55640,55640,55488,55640
csmith_57.bc,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,93200,99144,99144,99144,99144,99144,94496,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99144,99120,99144,99144,99144,99120,99144
csmith_58.bc,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,21888,22752,22752,22752,22752,22752,22088,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,22752,23064,22752,22752,22752,23064,22752
csmith_59.bc,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16608,16624,16608,16608,16608,16624,16608
csmith_60.bc,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54296,54616,54616,54616,54616,54616,54432,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,54616,55072,54616,54616,54616,55072,54616
csmith_61.bc,78784,78784,78784,78784,78784,78784,78752,78784,78784,78784,78784,78752,71616,78784,78784,78784,78784,78784,78216,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78784,78944,78784,78784,78784,78944,78784
csmith_62.bc,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576,16576
csmith_63.bc,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16176,16248,16248,16248,16248,16248,16216,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248,16248
csmith_64.bc,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,102496,103936,103936,103936,103936,103936,99472,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103936,103632,103936,103936,103936,103632,103936
