,-no-flag,-adce,-always-inline,-argpromotion,-break-crit-edges,-codegenprepare,-constmerge,-dce,-deadargelim,-dse,-function-attrs,-globaldce,-globalopt,-gvn,-indvars,-inline,-instcombine,-aggressive-instcombine,-ipsccp,-jump-threading,-lcssa,-licm,-loop-deletion,-loop-extract,-loop-extract-single,-loop-reduce,-loop-rotate,-loop-simplify,-loop-unroll,-loop-unroll-and-jam,-loweratomic,-lowerinvoke,-lowerswitch,-mem2reg,-memcpyopt,-mergefunc,-mergereturn,-partial-inliner,-reassociate,-reg2mem,-sroa,-sccp,-simplifycfg,-sink,-strip,-strip-dead-debug-info,-strip-dead-prototypes,-strip-debug-declare,-strip-nondebug,-tailcallelim
csmith_124,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37400,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496,37496
csmith_125,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19496,19512,19512,19512,19512,19512,19288,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512,19512
csmith_126,21080,21096,21080,21080,21064,21080,21080,21096,21080,21096,21080,21080,21080,21096,21080,21096,21080,21064,21032,21080,21096,21096,21080,21080,21064,21080,21080,21080,21080,21064,21080,21080,21080,21080,21080,21080,21080,21064,21080,21080,21096,21096,21080,21096,21096,21064,21064,21064,21080,21080
csmith_127,35640,35640,35640,35624,35640,35640,35640,35640,35640,35640,35640,35640,35624,35640,35640,35640,35640,35640,35480,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640,35640
csmith_128,35816,35816,35816,35800,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35688,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816,35816
csmith_129,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18456,18472,18472,18472,18472,18472,18440,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472,18472
csmith_13,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736,7736
csmith_130,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27768,27928,27928,27928,27928,27928,27752,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928,27928
csmith_131,18760,18760,18760,18744,18760,18760,18760,18760,18760,18760,18760,18760,18744,18760,18760,18760,18760,18760,18680,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760,18760
csmith_132,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35064,35096,35096,35096,35096,35096,35032,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096,35096
