,NumGlobalVars,GlobalVarUsage,TotalInsts,TotalBlocks,BlockLow,BlockMid,BlockHigh,TotalFuncs,TotalMemInst,BeginPhi,ArgsPhi,BBNoPhi,BB03Phi,BBHiPhi,BBNumArgsHi,BBNumArgsLo,testUnary,binaryConstArg,callLargeNumArgs,returnInt,oneSuccessor,twoSuccessor,moreSuccessors,onePred,twoPred,morePreds,onePredOneSuc,onePredTwoSuc,twoPredOneSuc,twoEach,moreEach,NumEdges,CriticalCount,BranchCount,numConstOnes,numConstZeroes,const32Bit,const64Bit,UncondBranches,NumLoadInst,NumCallInst,NumInvokeInst,NumAllocaInst,NumStoreInst,NumGetElementPtrInst,NumAShrInst,NumLShrInst,NumShlInst,NumAddInst,NumSubInst,NumMulInst,NumAndInst,NumOrInst,NumXorInst,NumBitCastInst,NumICmpInst,NumSExtInst,NumZExtInst,NumSelectInst
51,795,2899,25027,2164,1857,304,3,100,16052,236,482,1928,236,0,0,236,10220,797,0,767,1297,771,0,1343,658,52,1027,313,218,382,0,2839,433,2068,4569,4150,3451,6584,1297,4747,1381,0,1628,4234,4062,23,131,17,303,32,8,321,147,194,358,1530,1301,1408,0
52,5124,5970,48104,1829,1560,253,16,97,30441,134,268,1695,134,0,0,134,23597,5618,0,473,1119,617,0,1153,537,36,906,241,170,312,0,2353,324,1736,3944,7190,9784,7675,1119,13536,5233,0,1320,3572,6780,1955,411,1948,282,34,8,1012,90,124,466,1072,4761,2989,0
53,1448,3681,28940,1960,1688,262,10,101,20464,175,352,1785,175,0,0,175,11098,698,0,583,1184,679,0,1247,564,44,962,280,178,328,0,2542,358,1863,5705,5486,3776,8920,1184,5405,1855,0,1658,5420,6126,88,19,80,302,30,8,227,126,145,425,1257,1207,1929,0
54,1551,3156,23006,1604,1383,216,5,99,15542,165,333,1439,165,0,0,165,10405,737,0,466,941,568,0,983,470,44,751,229,142,267,0,2077,331,1509,3428,3770,3413,5186,941,5592,1845,0,1233,3185,3687,134,52,132,233,36,8,191,93,136,224,1076,1527,1312,0
55,1246,3854,26924,1967,1665,297,5,101,18580,207,418,1760,207,0,0,207,10560,513,0,655,1171,699,0,1224,583,50,934,288,185,339,0,2569,397,1870,5100,4599,3256,7904,1171,5248,1643,0,1475,4908,5306,24,19,16,306,34,8,162,137,172,349,1431,1328,1589,0
56,990,2890,34433,2407,2040,355,12,101,23144,252,508,2155,252,0,0,252,13323,1436,0,961,1476,834,0,1539,717,44,1211,324,219,439,0,3144,437,2310,6394,6157,4955,10232,1476,6465,1792,0,2023,6239,6625,295,73,287,401,32,8,380,203,259,293,1833,1818,1952,0
57,2467,3489,31156,1783,1489,287,7,101,17939,163,330,1620,163,0,0,163,14726,3638,0,562,1058,628,0,1104,528,45,847,255,169,299,0,2314,365,1686,3328,3132,3355,4624,1058,7493,2619,0,1031,3369,3427,977,479,974,247,28,8,955,102,137,388,1138,2495,1715,0
58,676,3910,33256,2309,1973,325,11,100,24082,253,513,2056,253,0,0,253,10519,596,0,871,1405,808,0,1455,689,48,1138,314,209,423,0,3021,438,2213,7842,6903,3949,12687,1405,4584,1343,0,2039,7655,8461,26,19,18,343,35,8,172,149,222,380,1700,1241,1589,0
59,5065,5503,42174,1209,1042,145,22,94,26101,100,201,1109,100,0,0,100,23253,4297,0,319,701,418,0,734,339,35,555,175,103,179,0,1537,241,1119,2526,4674,4428,7578,701,12761,5186,0,953,2460,4741,974,950,655,244,23,8,1477,67,98,207,705,3618,3215,0
60,3169,4003,31991,1523,1318,193,12,98,22366,145,291,1378,145,0,0,145,15556,1525,0,450,896,533,0,934,455,34,717,213,143,254,0,1962,315,1429,3625,4819,4588,6143,896,9319,3388,0,973,3458,5228,296,18,288,220,25,8,701,74,109,286,930,2305,2343,0
